"Sl no","pdf_urls"
"1","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzY5OTAwMDAwNDI4NjIwMjNJUw%3D%3D"
"2","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1ODI3MzAwMDAxMzIxNzIwMjNJUw%3D%3D"
"3","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mjc3MjAwMDAwMjQ0OTIwMjNJUw%3D%3D"
"4","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjExNDAwMDAwODY5MTIwMjNJUw%3D%3D"
"5","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzMxNjAwMDAwMzU1MTIwMjNJUw%3D%3D"
"6","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTgzNjAwMDAwODA0MzIwMjNJUw%3D%3D"
"7","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDQxMDAwMDAwNTQ1NDIwMjNJUw%3D%3D"
"8","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDQxNDAwMDAwNTQ1NzIwMjNJUw%3D%3D"
"9","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTYyMTAwMDAwNzczMjIwMjNJUw%3D%3D"
"10","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjE5MzAwMDAwODg5NjIwMjNJUw%3D%3D"
"11","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NjE5NDAwMDAwODg5NTIwMjNJUw%3D%3D"
